≠,№,Показатели,Считаем сами,Учет населения,Баллы за единицу,Точная формулировка вопроса,Комментарии
,1,Региональная федерация,,,,,Только аккредитованные или все?
,1,   Есть аккредитация,   да,,"0,0005",,
,2,   Есть программа развития,,,"0,005",,"   1. Анализ текущей ситуации или проблематика
2. Перечень конкретных действий
3. Ожидаемые результаты
4. Метрики с повышаюмися цифрами

Взять данные с прошлого года, кто не присылал - запросить + уточнить комментарии
"
,3,   Количество отделений региональной федерации,,да,"0,005",,"   Количество отделений баскетбола помимо основного регионального, определить критерии членства, посоветоваться с юристами"
,4,   Количество членов федерации,,да,"0,008",,   Запросить у Власова
,5,   Наличие антидопинговой работы федерации,,,"0,008",,
,6,   Объем бюджета федерации,,,"0,01",,"   Где-то деньги идут на федерацию, а где-то напрямую в лигу, университет, клуб и т.д. Определить порядок подсчета!
Отдельно дефицит и профицит
Дефицит можно собрать, но не считать"
,7,   Понимание детального дефицита бюджета,,,"0,01","   Есть дефицит бюджета?
Распишите максимально подробно дефицит бюджета.
(На какие статьи и направления не хватает средств и в какой объеме)",   Хотя бы сумма и на какое направление
,8,   Получение гранта РФБ,   да,,"0,02",,
,9,   Получение грантов помимо РФБ,,,"0,03",,
,10,   Наличие попечительского совета,,,"0,03",,   Положение о поп совете
,,   Маркетинг федерации,,,,,
,11,      Федерация с активным официальным сайтом или страницей на сайте РФБ,   Да,,"0,04",,"   Актуальные новости, ежемесячно не менее 2 новостей, начиная с января"
,12,      Федерация с фирменным стилем,,,"0,04","   Наличие фирменного стиля у региональной федерации?
(Фирменное оформление самой региональная федерация или спорта в регионе в целом (Минспорт)
Прикрепите документ, описывающий руководство по использованию фирменного стиля региональной федерации",   Прислать руководство по использованию фирменного стиля
,,      Федерация с собственным логотипом,   Да,,7,,
,13,      Федерация с активным сообществом ВКонтакте,   Да,,"0,05",,"   Открытое сообщество, не менее 500 человек, ежемесячно не менее 2 постов, начиная с января"
,14,      Федерация с  активным Telegram-каналом,,,"0,1",,"   Ежемесячно не менее 2 постов, начиная с марта"
,2,Общие критерии для региона,,,,,
,15,   Базовый вид спорта,   да,,"0,1",,
,16,   Количество занимающихся в регионе по данным Минспорта,   да,да,"0,1","   Еслии не найдем, не включаем",   Прикрепить 
,,   Спортивные объекты,,,,,
,,      Крытые площадки,,,,,
,17,"Стандартные крытые баскетбольные площадки, входящие в единый реестр объектов спорта",,да,"0,1",,"      1. ВТБ
2. Суперлига
3. СЛ РЖД
4. ДЮБЛ
5. Еврокубок
6. Евролига
7. КЭС-Баскет / ЛОКО-Баскет"
,18,"Стандартные крытые баскетбольные площадки, входящие в единый реестр объектов спорта, с 1 000 и более посадочных мест ",,да,"0,15",,
,19,"Стандартные крытые баскетбольные площадки, входящие в единый реестр объектов спорта, с 5 000 и более посадочных мест",,да,"0,15",,
