, Реестр общероссийских и аккредитованных региональных спортивных федераций,,,,,,
,,,,,,,
№ п/п,Наименование спортивной федерации,Субъект Российской Федерации,"Сведения о видах спорта, по которым аккредитована спортивная федерация",,,,
,,,Вид спорта,Номер-код спортивной федерации,Дата приказа о государтсвенной аккредитации,Дата окончания государтсвенной аккредитации,Номер приказа о государтсвенной аккредитации
1,КРАЕВАЯ РЕГИОНАЛЬНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ФЕДЕРАЦИЯ БАСКЕТБОЛА КРАСНОЯРСКОГО КРАЯ,,БАСКЕТБОЛ,0142403551О,2023-03-14 03:00:00 +0300,2027-03-13 03:00:00 +0300,123
2,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РЕГИОНАЛЬНАЯ СПОРТИВНАЯ ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА ЛЕНИНГРАДСКОЙ ОБЛАСТИ""",Ленинградская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1524702099С,2023-03-20T00:00:00.000Z,2025-03-20T00:00:00.000Z,1-5-91/2023
3,"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА САМАРСКОЙ ОБЛАСТИ""",Самарская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1526305057С,2023-04-10T00:00:00.000Z,2027-04-09T00:00:00.000Z,293-П
4,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО САРАТОВСКОЙ ОБЛАСТИ",Саратовская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1526400323С,2021-04-02T00:00:00.000Z,2025-04-01T00:00:00.000Z,186
5,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО ГОРОДУ МОСКВЕ",Москва,АВИАМОДЕЛЬНЫЙ СПОРТ,1527700860С,2022-07-26T00:00:00.000Z,2024-07-25T00:00:00.000Z,218
6,"КРАСНОЯРСКАЯ РЕГИОНАЛЬНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА""",Красноярский край,АВИАМОДЕЛЬНЫЙ СПОРТ,1522403743С,2021-08-16T00:00:00.000Z,2025-08-15T00:00:00.000Z,367П
7,"ОБЩЕРОССИЙСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ""",,АВИАМОДЕЛЬНЫЙ СПОРТ,1529900017С,2022-03-29T00:00:00.000Z,2026-03-29T00:00:00.000Z,243
8,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО РЕСПУБЛИКЕ ДАГЕСТАН",Республика Дагестан,АВИАМОДЕЛЬНЫЙ СПОРТ,1520503754С,2024-02-26T00:00:00.000Z,2028-02-25T00:00:00.000Z,16-02-1/37
9,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО РЯЗАНСКОЙ ОБЛАСТИ",Рязанская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1526219802С,2021-06-29T00:00:00.000Z,2025-06-28T00:00:00.000Z,422
10,"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА ПО ИРКУТСКОЙ ОБЛАСТИ""",Иркутская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1523800218С,2023-03-22T00:00:00.000Z,2027-03-21T00:00:00.000Z,96-336-МР
11,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО РЕСПУБЛИКЕ ТАТАРСТАН",Республика Татарстан,АВИАМОДЕЛЬНЫЙ СПОРТ,1521603771С,2020-10-20T00:00:00.000Z,2024-10-19T00:00:00.000Z,309
12,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО МУРМАНСКОЙ ОБЛАСТИ",Мурманская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1525105110С,2024-01-31T00:00:00.000Z,2028-01-30T00:00:00.000Z,99
13,"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА НИЖЕГОРОДСКОЙ ОБЛАСТИ""",Нижегородская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1525205173С,2023-12-25T00:00:00.000Z,2027-12-24T00:00:00.000Z,437
14,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО БЕЛГОРОДСКОЙ ОБЛАСТИ",Белгородская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1523105912С,2020-10-07T00:00:00.000Z,2024-10-06T00:00:00.000Z,А-10
15,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО АМУРСКОЙ ОБЛАСТИ",Амурская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1522803809С,2021-06-29T00:00:00.000Z,2025-06-28T00:00:00.000Z,75
16,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО ТВЕРСКОЙ ОБЛАСТИ",Тверская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1526903131С,2022-12-16T00:00:00.000Z,2026-12-17T00:00:00.000Z,408-ОД
17,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ АВИАМОДЕЛЬНОГО СПОРТА РОССИИ"" ПО КАЛУЖСКОЙ ОБЛАСТИ",Калужская область,АВИАМОДЕЛЬНЫЙ СПОРТ,1524006459С,2021-09-03T00:00:00.000Z,2025-09-02T00:00:00.000Z,441
